Frequency (MHz),I_mean (Jy),I_serror (Jy),Q_mean (Jy),Q_serror (Jy),U_mean (Jy),U_serror (Jy),V_mean (Jy),V_serror (Jy)
1595.845250000000,9.339417902628581,0.005031635620174402,0.2205797520983550,0.004668591366031839,-0.02909718261152092,0.005222614953465353,-0.007729825876641725,0.005013630003027489
1595.855300000000,9.590588442484538,0.005113572745609794,0.5443009909656312,0.005268208961916113,-0.03758710582882890,0.005069628416914832,-0.01193483836576408,0.004432014628670274
1595.865350000000,9.747449058956571,0.005309620959758650,0.2807808578635255,0.005486003898052663,-0.02556976845112836,0.005156759614070405,-0.006810118266615619,0.005477848869415289
1595.875400000000,9.458045959472656,0.005263924926619183,0.1992770965521534,0.005415698374093968,-0.03254641270015984,0.005349986211339319,-0.008624090426106552,0.005517367325664118
1595.885450000000,9.863089858161079,0.005344543260149469,0.3431779657800992,0.005318503139262995,-0.02718491474160045,0.006143036936594451,-0.01667422109107090,0.005237534645715687
1595.895500000000,9.885905758539836,0.005888664994012232,0.3392799168825150,0.005424495261305002,-0.01490286401110805,0.004828956229575283,-0.01522947218202641,0.005295322684386220
1595.905550000000,9.481496169832017,0.005187790817284772,0.3356076549324725,0.004437688263063201,-0.02777411841325374,0.005304323279356224,-0.006287787674597843,0.005270424573279912
1595.915600000000,9.795370170805189,0.005593582788586768,0.09061347677868778,0.005672946704678807,-0.02935245096163676,0.005195361699365408,-0.01594328223069397,0.005254989964732058
1595.925650000000,9.564524348576864,0.005809894520840912,0.1429057929845941,0.004634593555476268,-0.02997592121246271,0.005341201042367578,-0.008166205707883971,0.004871885794860094
1595.935700000000,9.680719057718912,0.005078992782723599,0.2120999308509959,0.005109406980800876,-0.03066763735996574,0.005402812069174626,-0.01074362010990752,0.005701047551288188
1595.945750000000,9.512676323784722,0.005177874787580692,0.02422028781404353,0.004958143744438941,-0.03324184533759965,0.005423599627031387,-0.01552436855458963,0.005046827865238112
1595.955800000000,9.810018475850423,0.005095904817134254,0.2136724807735946,0.004968128553822060,-0.03180385338572604,0.005292098746619286,-0.004591309531321662,0.005352439071447811
1595.965850000000,9.661780309677123,0.005403795576996585,0.3041361908531851,0.005585150748487582,-0.03092611897991446,0.005498301847038761,-0.01883671607053985,0.004503584001201488
1595.975900000000,9.677957513597276,0.005215446766012108,0.3448508733676540,0.005401819804923966,-0.02320309920097417,0.004715043388857033,-0.01947124527219002,0.005140998519593666
1595.985950000000,9.346475945578682,0.005173035627630156,0.3209910464783510,0.005342449664012205,-0.03629809879186925,0.004616319537783911,-0.01011494416926047,0.004872494572434857
1595.996000000000,9.681357373131647,0.004983910945772605,0.4049777557452520,0.005530237271873976,-0.02869656124332525,0.005384798146310582,-0.01879680480029720,0.005102278791339211
1596.006050000000,9.604022296269735,0.005144168997589581,0.4770786239041223,0.005416297099937389,-0.02903580027600078,0.005166696892041148,-0.009456148063778376,0.005409433239909472
1596.016100000000,9.705816019905939,0.005313590567372118,0.2426393031453093,0.005035029385703484,-0.03515259307864148,0.005513398293124299,-0.01299443756794290,0.005191013426697571
1596.026150000000,9.475309737523396,0.004934902181275490,0.1285176222044457,0.005600468186703765,-0.02928205481892089,0.005119941127611933,-0.03119266766533176,0.005329620666305194
1596.036200000000,9.631184307734172,0.004997159828623374,0.04238985374621633,0.005182751920673824,-0.01653468121669196,0.004664945172894413,-0.02991393727930926,0.005486630632094110
1596.046250000000,9.421012608210246,0.005072434450239856,0.2652000947544972,0.005325086452875973,-0.02688413260958542,0.005010397091890574,-0.008428620019191788,0.005390080204054255
